iso2,iso3,kyc_score,eval_kyc_score,basel_score,eval_basel_score,corruption_perception,eval_corruption_perception,gray_or_black_list,attention_factor
GD,GRD,69.84,1.43,5,1.05,53,1.89,0,1.228106
NU,NIU,75.52,1.32,5,1.05,50,2.00,0,1.229025
LI,LIE,75.42,1.33,5,1.05,50,2.00,0,1.229318
JE,JEY,75.34,1.33,5,1.05,50,2.00,0,1.229553
TO,TON,75.2,1.33,5,1.05,50,2.00,0,1.229965
IM,IMN,75.11,1.33,5,1.05,50,2.00,0,1.230230
MP,MNP,74.64,1.34,5,1.05,50,2.00,0,1.231627
IO,IOT,74.38,1.34,5,1.05,50,2.00,0,1.232408
FK,FLK,74.38,1.34,5,1.05,50,2.00,0,1.232408
PN,PCN,74.38,1.34,5,1.05,50,2.00,0,1.232408
SH,SHN,74.38,1.34,5,1.05,50,2.00,0,1.232408
CK,COK,72.6,1.38,3.13,1.03,50,2.00,0,1.234785
MO,MAC,73.75,1.36,5.93,1.06,50,2.00,0,1.235872
MH,MHL,73.24,1.37,5,1.05,50,2.00,0,1.235896
FM,FSM,73.12,1.37,5,1.05,50,2.00,0,1.236269
NR,NRU,72.83,1.37,5,1.05,50,2.00,0,1.237177
NP,NPL,72.66,1.38,5,1.05,50,2.00,0,1.237712
HR,HRV,80.05,1.25,5,1.05,47,2.13,0,1.237813
SK,SVK,74.15,1.35,4.37,1.04,49,2.04,0,1.238856
GI,GIB,72.02,1.39,5,1.05,50,2.00,0,1.239751
BQ,BES,71.93,1.39,5,1.05,50,2.00,0,1.240040
TC,TCA,70.41,1.42,5.35,1.05,50,2.00,0,1.245625
TV,TUV,69.46,1.44,5,1.05,50,2.00,0,1.248280
AW,ABW,68.39,1.46,5,1.05,50,2.00,0,1.252034
KI,KIR,67.93,1.47,5,1.05,50,2.00,0,1.253684
DM,DMA,60.19,1.66,5,1.05,55,1.82,0,1.254931
KN,KNA,66.66,1.50,5,1.05,50,2.00,0,1.258358
AG,ATG,66.57,1.50,4.95,1.05,50,2.00,0,1.258613
WS,WSM,66.68,1.50,5.32,1.05,50,2.00,0,1.258817
MY,MYS,64.99,1.54,5.47,1.05,51,1.96,0,1.259030
PW,PLW,66.3,1.51,6.17,1.06,50,2.00,0,1.261666
VC,VCT,65.23,1.53,5,1.05,50,2.00,0,1.263839
CW,CUW,64.8,1.54,5,1.05,50,2.00,0,1.265535
LC,LCA,63.99,1.56,5.21,1.05,50,2.00,0,1.269141
BZ,BLZ,63.89,1.57,5,1.05,50,2.00,0,1.269198
AM,ARM,63.04,1.59,4.63,1.05,49,2.04,0,1.278902
HU,HUN,74.03,1.35,5.04,1.05,44,2.27,0,1.278989
ST,STP,66.38,1.51,5,1.05,47,2.13,0,1.280690
BG,BGR,73.03,1.37,5,1.05,44,2.27,0,1.282005
ZA,ZAF,71.78,1.39,5,1.05,44,2.27,0,1.285979
RO,ROU,71.77,1.39,5,1.05,44,2.27,0,1.286011
MV,MDV,74.02,1.35,5,1.05,43,2.33,0,1.287761
SB,SLB,76.76,1.30,6.74,1.07,42,2.38,0,1.291852
BY,BLR,63.5,1.57,5.04,1.05,47,2.13,0,1.292144
TN,TUN,69.3,1.44,5.2,1.05,44,2.27,0,1.294621
ME,MNE,65.56,1.53,5,1.05,45,2.22,0,1.299590
KW,KWT,72.57,1.38,5,1.05,42,2.38,0,1.301489
LS,LSO,74.61,1.34,5,1.05,41,2.44,0,1.304888
BH,BHR,70.54,1.42,4.5,1.05,42,2.38,0,1.307265
AR,ARG,69.2,1.45,5,1.05,42,2.38,0,1.312673
LK,LKA,77.34,1.29,6.51,1.07,38,2.63,0,1.331612
TL,TLS,69.13,1.45,5,1.05,40,2.50,0,1.332758
ET,ETH,76.87,1.30,6.77,1.07,38,2.63,0,1.333363
BJ,BEN,66.06,1.51,5,1.05,41,2.44,0,1.333800
CU,CUB,54.28,1.84,5.75,1.06,47,2.13,0,1.337910
GY,GUY,64.63,1.55,5,1.05,41,2.44,0,1.339382
EH,ESH,50.31,1.99,5,1.05,50,2.00,0,1.339613
IN,IND,65.87,1.52,5,1.05,40,2.50,0,1.344690
VU,VUT,58.85,1.70,5.33,1.05,43,2.33,0,1.346353
GM,GMB,74.76,1.34,5,1.05,37,2.70,0,1.348386
CN,CHN,59.25,1.69,6.7,1.07,42,2.38,0,1.355953
KZ,KAZ,67.53,1.48,5,1.05,38,2.63,0,1.360400
SR,SUR,67.39,1.48,5,1.05,38,2.63,0,1.360913
PE,PER,66.75,1.50,4.5,1.05,38,2.63,0,1.362451
CO,COL,63.31,1.58,4.64,1.05,39,2.56,0,1.365005
MN,MNG,78.18,1.28,6.09,1.06,35,2.86,0,1.366190
EC,ECU,62.74,1.59,5,1.05,39,2.56,0,1.367997
ID,IDN,68.49,1.46,4.68,1.05,37,2.70,0,1.368262
RS,SRB,64.75,1.54,5.47,1.05,38,2.63,0,1.371780
MK,MKD,75.07,1.33,5,1.05,35,2.86,0,1.373205
TZ,TZA,64.19,1.56,6.22,1.06,38,2.63,0,1.375276
TT,TTO,58.17,1.72,4.85,1.05,40,2.50,0,1.377933
CI,CIV,67.46,1.48,5,1.05,36,2.78,0,1.385023
DZ,DZA,64.79,1.54,5,1.05,36,2.78,0,1.395204
SV,SLV,64.74,1.54,5,1.05,36,2.78,0,1.395403
TH,THA,64.4,1.55,6.15,1.06,36,2.78,0,1.398679
MC,MCO,71.31,1.40,5,1.05,34,2.94,0,1.398917
ZM,ZMB,76.5,1.31,6.03,1.06,33,3.03,0,1.399632
VN,VNM,63.26,1.58,5,1.05,36,2.78,0,1.401426
XK,XXK,62.07,1.61,5,1.05,36,2.78,0,1.406477
SZ,SWZ,72.62,1.38,5,1.05,33,3.03,0,1.409556
BR,BRA,56.3,1.78,5,1.05,38,2.63,0,1.409630
NE,NER,73.26,1.37,5,1.05,32,3.13,0,1.423334
MD,MDA,64.09,1.56,4.98,1.05,34,2.94,0,1.425214
BA,BIH,60.81,1.64,5,1.05,35,2.86,0,1.425268
EG,EGY,67.59,1.48,5.19,1.05,33,3.03,0,1.426952
SL,SLE,66.85,1.50,5,1.05,33,3.03,0,1.429365
MW,MWI,76.87,1.30,5.78,1.06,30,3.33,0,1.448672
GA,GAB,72.32,1.38,5,1.05,30,3.33,0,1.461013
KG,KGZ,66.24,1.51,6.09,1.06,31,3.23,0,1.466061
